KIN_ACC_ID	SUB_ACC_ID	score	ACC_ID	#Psites	Family	GENE
Q5S007	Q05048	270	Q05048	1	LRRK	LRRK2
Q5S007	Q9H4B7	390	Q9H4B7	1	LRRK	LRRK2
Q5S007	Q05639	526	Q05639	16	LRRK	LRRK2
Q5S007	Q96RU7	177	Q96RU7	1	LRRK	LRRK2
Q5S007	P68400	326	P68400	3	LRRK	LRRK2
Q5S007	P23526	270	P23526	6	LRRK	LRRK2
Q5S007	P51553	270	P51553	1	LRRK	LRRK2
Q5S007	O75832	369	O75832	2	LRRK	LRRK2
Q5S007	Q9NPB6	206	Q9NPB6	8	LRRK	LRRK2
Q5S007	Q9UNE7	652	Q9UNE7	10	LRRK	LRRK2
Q5S007	P56270	295	P56270	4	LRRK	LRRK2
Q5S007	O14735	270	O14735	1	LRRK	LRRK2
Q5S007	Q9NYN1	349	Q9NYN1	1	LRRK	LRRK2
Q5S007	Q9H223	281	Q9H223	6	LRRK	LRRK2
Q5S007	Q96L33	301	Q96L33	2	LRRK	LRRK2
Q5S007	Q9UKV8	706	Q9UKV8	4	LRRK	LRRK2
Q5S007	O43353	341	O43353	14	LRRK	LRRK2
Q5S007	Q16698	279	Q16698	2	LRRK	LRRK2
Q5S007	P60228	270	P60228	6	LRRK	LRRK2
Q5S007	P00390	270	P00390	7	LRRK	LRRK2
Q5S007	P62714	300	P62714	1	LRRK	LRRK2
Q5S007	P07197	352	P07197	26	LRRK	LRRK2
Q5S007	Q8N7H5	270	Q8N7H5	11	LRRK	LRRK2
Q5S007	P14866	270	P14866	21	LRRK	LRRK2
Q5S007	Q15428	181	Q15428	3	LRRK	LRRK2
Q5S007	P22087	270	P22087	5	LRRK	LRRK2
Q5S007	Q99426	270	Q99426	9	LRRK	LRRK2
Q5S007	Q16543	737	Q16543	8	LRRK	LRRK2
Q5S007	Q02543	314	Q02543	9	LRRK	LRRK2
Q5S007	P49840	424	P49840	10	LRRK	LRRK2
Q5S007	P43490	270	P43490	6	LRRK	LRRK2
Q5S007	Q9NZW5	365	Q9NZW5	7	LRRK	LRRK2
Q5S007	Q16623	245	Q16623	4	LRRK	LRRK2
Q5S007	Q13155	270	Q13155	3	LRRK	LRRK2
Q5S007	P25787	270	P25787	13	LRRK	LRRK2
Q5S007	O15498	295	O15498	2	LRRK	LRRK2
Q5S007	P30405	338	P30405	2	LRRK	LRRK2
Q5S007	P84098	511	P84098	4	LRRK	LRRK2
Q5S007	P07737	287	P07737	24	LRRK	LRRK2
Q5S007	Q02978	483	Q02978	1	LRRK	LRRK2
Q5S007	Q9Y272	387	Q9Y272	1	LRRK	LRRK2
Q5S007	Q07021	281	Q07021	9	LRRK	LRRK2
Q5S007	P55039	270	P55039	1	LRRK	LRRK2
Q5S007	P17844	548	P17844	15	LRRK	LRRK2
Q5S007	Q96AG4	306	Q96AG4	6	LRRK	LRRK2
Q5S007	P19838	171	P19838	12	LRRK	LRRK2
Q5S007	Q9UMS4	403	Q9UMS4	4	LRRK	LRRK2
Q5S007	P02656	270	P02656	1	LRRK	LRRK2
Q5S007	Q00325	270	Q00325	3	LRRK	LRRK2
Q5S007	Q9ULR3	270	Q9ULR3	13	LRRK	LRRK2
Q5S007	P57740	483	P57740	22	LRRK	LRRK2
Q5S007	P04406	336	P04406	43	LRRK	LRRK2
Q5S007	P60174	270	P60174	31	LRRK	LRRK2
Q5S007	Q8NFW8	376	Q8NFW8	2	LRRK	LRRK2
Q5S007	Q15286	359	Q15286	2	LRRK	LRRK2
Q5S007	Q16539	154	Q16539	9	LRRK	LRRK2
Q5S007	P40123	661	P40123	14	LRRK	LRRK2
Q5S007	P25398	340	P25398	4	LRRK	LRRK2
Q5S007	O60493	270	O60493	8	LRRK	LRRK2
Q5S007	Q13895	270	Q13895	10	LRRK	LRRK2
Q5S007	Q96KP1	270	Q96KP1	7	LRRK	LRRK2
Q5S007	P42285	270	P42285	5	LRRK	LRRK2
Q5S007	Q9BQG2	171	Q9BQG2	1	LRRK	LRRK2
Q5S007	O75694	270	O75694	15	LRRK	LRRK2
Q5S007	P36406	510	P36406	3	LRRK	LRRK2
Q5S007	P54136	270	P54136	9	LRRK	LRRK2
Q5S007	Q9HAV0	168	Q9HAV0	2	LRRK	LRRK2
Q5S007	P11172	285	P11172	5	LRRK	LRRK2
Q5S007	P51957	295	P51957	8	LRRK	LRRK2
Q5S007	P19525	314	P19525	10	LRRK	LRRK2
Q5S007	P43246	483	P43246	5	LRRK	LRRK2
Q5S007	O75251	270	O75251	1	LRRK	LRRK2
Q5S007	P61604	270	P61604	8	LRRK	LRRK2
Q5S007	Q15435	306	Q15435	11	LRRK	LRRK2
Q5S007	Q9H8Y8	270	Q9H8Y8	17	LRRK	LRRK2
Q5S007	P52701	270	P52701	45	LRRK	LRRK2
Q5S007	P06733	277	P06733	43	LRRK	LRRK2
Q5S007	P49591	270	P49591	1	LRRK	LRRK2
Q5S007	Q9BQA1	305	Q9BQA1	3	LRRK	LRRK2
Q5S007	O95140	380	O95140	2	LRRK	LRRK2
Q5S007	O43488	282	O43488	4	LRRK	LRRK2
Q5S007	O75379	314	O75379	8	LRRK	LRRK2
Q5S007	O95926	206	O95926	2	LRRK	LRRK2
Q5S007	P07339	288	P07339	5	LRRK	LRRK2
Q5S007	P02647	270	P02647	10	LRRK	LRRK2
Q5S007	P31939	287	P31939	9	LRRK	LRRK2
Q5S007	Q9NYY8	270	Q9NYY8	3	LRRK	LRRK2
Q5S007	P04844	270	P04844	1	LRRK	LRRK2
Q5S007	Q8NHQ9	163	Q8NHQ9	6	LRRK	LRRK2
Q5S007	Q8TD19	287	Q8TD19	24	LRRK	LRRK2
Q5S007	Q9ULI0	204	Q9ULI0	27	LRRK	LRRK2
Q5S007	Q96RS6	281	Q96RS6	4	LRRK	LRRK2
Q5S007	P35080	287	P35080	1	LRRK	LRRK2
Q5S007	Q13148	281	Q13148	6	LRRK	LRRK2
Q5S007	P38432	270	P38432	32	LRRK	LRRK2
Q5S007	Q92734	270	Q92734	10	LRRK	LRRK2
Q5S007	Q9GZZ1	270	Q9GZZ1	1	LRRK	LRRK2
Q5S007	Q9UQF2	689	Q9UQF2	2	LRRK	LRRK2
Q5S007	P04040	276	P04040	4	LRRK	LRRK2
Q5S007	P36888	150	P36888	1	LRRK	LRRK2
Q5S007	Q6T310	349	Q6T310	2	LRRK	LRRK2
Q5S007	P09496	175	P09496	3	LRRK	LRRK2
Q5S007	O00148	362	O00148	12	LRRK	LRRK2
Q5S007	P61619	276	P61619	2	LRRK	LRRK2
Q5S007	Q9NP90	218	Q9NP90	2	LRRK	LRRK2
Q5S007	Q5UIP0	483	Q5UIP0	103	LRRK	LRRK2
Q5S007	P09012	183	P09012	2	LRRK	LRRK2
Q5S007	P05111	153	P05111	1	LRRK	LRRK2
Q5S007	P09234	171	P09234	5	LRRK	LRRK2
Q5S007	P16402	270	P16402	25	LRRK	LRRK2
Q5S007	Q5JTZ9	270	Q5JTZ9	2	LRRK	LRRK2
Q5S007	P43307	270	P43307	9	LRRK	LRRK2
Q5S007	P00505	270	P00505	10	LRRK	LRRK2
Q5S007	P10114	349	P10114	1	LRRK	LRRK2
Q5S007	Q9UKX2	304	Q9UKX2	20	LRRK	LRRK2
Q5S007	Q9Y2R9	270	Q9Y2R9	1	LRRK	LRRK2
Q5S007	Q9BUK6	270	Q9BUK6	7	LRRK	LRRK2
Q5S007	Q8NI27	270	Q8NI27	34	LRRK	LRRK2
Q5S007	P60981	319	P60981	10	LRRK	LRRK2
Q5S007	P08579	378	P08579	1	LRRK	LRRK2
Q5S007	Q969V3	483	Q969V3	1	LRRK	LRRK2
Q5S007	Q9UKM9	183	Q9UKM9	18	LRRK	LRRK2
Q5S007	P35527	273	P35527	8	LRRK	LRRK2
Q5S007	P10301	349	P10301	5	LRRK	LRRK2
Q5S007	Q9Y3A5	270	Q9Y3A5	2	LRRK	LRRK2
Q5S007	Q12931	438	Q12931	7	LRRK	LRRK2
Q5S007	Q9Y6V7	163	Q9Y6V7	3	LRRK	LRRK2
Q5S007	P27824	283	P27824	10	LRRK	LRRK2
Q5S007	Q9NRX4	270	Q9NRX4	6	LRRK	LRRK2
Q5S007	Q13526	270	Q13526	6	LRRK	LRRK2
Q5S007	Q9UBQ5	270	Q9UBQ5	3	LRRK	LRRK2
Q5S007	P68366	270	P68366	31	LRRK	LRRK2
Q5S007	Q13685	270	Q13685	2	LRRK	LRRK2
Q5S007	P04792	514	P04792	29	LRRK	LRRK2
Q5S007	Q05209	183	Q05209	52	LRRK	LRRK2
Q5S007	Q9BPW5	349	Q9BPW5	1	LRRK	LRRK2
Q5S007	Q04917	594	Q04917	9	LRRK	LRRK2
Q5S007	P15153	434	P15153	6	LRRK	LRRK2
Q5S007	O75439	273	O75439	2	LRRK	LRRK2
Q5S007	O95777	167	O95777	1	LRRK	LRRK2
Q5S007	O15240	270	O15240	5	LRRK	LRRK2
Q5S007	O75925	270	O75925	15	LRRK	LRRK2
Q5S007	Q9NWW5	270	Q9NWW5	6	LRRK	LRRK2
Q5S007	P53618	276	P53618	12	LRRK	LRRK2
Q5S007	Q9BRA2	270	Q9BRA2	1	LRRK	LRRK2
Q5S007	P51116	286	P51116	28	LRRK	LRRK2
Q5S007	P61224	504	P61224	5	LRRK	LRRK2
Q5S007	Q92904	183	Q92904	1	LRRK	LRRK2
Q5S007	Q9UPT6	367	Q9UPT6	19	LRRK	LRRK2
Q5S007	Q6PJT7	212	Q6PJT7	31	LRRK	LRRK2
Q5S007	P49257	270	P49257	4	LRRK	LRRK2
Q5S007	Q96N67	270	Q96N67	60	LRRK	LRRK2
Q5S007	Q8IX18	341	Q8IX18	3	LRRK	LRRK2
Q5S007	P19087	483	P19087	1	LRRK	LRRK2
Q5S007	P23258	483	P23258	3	LRRK	LRRK2
Q5S007	P62249	548	P62249	3	LRRK	LRRK2
Q5S007	Q9BPX3	270	Q9BPX3	18	LRRK	LRRK2
Q5S007	Q7Z478	341	Q7Z478	17	LRRK	LRRK2
Q5S007	Q99816	270	Q99816	4	LRRK	LRRK2
Q5S007	Q9C0K3	280	Q9C0K3	2	LRRK	LRRK2
Q5S007	P13647	281	P13647	62	LRRK	LRRK2
Q5S007	P04264	281	P04264	27	LRRK	LRRK2
Q5S007	P04259	281	P04259	38	LRRK	LRRK2
Q5S007	Q9UIA9	308	Q9UIA9	5	LRRK	LRRK2
Q5S007	Q14151	270	Q14151	43	LRRK	LRRK2
Q5S007	Q8NBJ5	270	Q8NBJ5	2	LRRK	LRRK2
Q5S007	O95336	270	O95336	6	LRRK	LRRK2
Q5S007	O95972	153	O95972	1	LRRK	LRRK2
Q5S007	O43707	355	O43707	31	LRRK	LRRK2
Q5S007	Q99988	153	Q99988	1	LRRK	LRRK2
Q5S007	Q9UBB4	270	Q9UBB4	4	LRRK	LRRK2
Q5S007	O00268	270	O00268	7	LRRK	LRRK2
Q5S007	P61081	270	P61081	2	LRRK	LRRK2
Q5S007	P41091	273	P41091	3	LRRK	LRRK2
Q5S007	P58004	270	P58004	2	LRRK	LRRK2
Q5S007	Q9BYD3	362	Q9BYD3	1	LRRK	LRRK2
Q5S007	O75821	270	O75821	12	LRRK	LRRK2
Q5S007	Q8WUA2	338	Q8WUA2	9	LRRK	LRRK2
Q5S007	Q14498	483	Q14498	20	LRRK	LRRK2
Q5S007	O75027	288	O75027	1	LRRK	LRRK2
Q5S007	P82663	270	P82663	2	LRRK	LRRK2
Q5S007	P53396	483	P53396	19	LRRK	LRRK2
Q5S007	Q13136	270	Q13136	57	LRRK	LRRK2
Q5S007	P09661	306	P09661	7	LRRK	LRRK2
Q5S007	Q9NZ32	307	Q9NZ32	4	LRRK	LRRK2
Q5S007	P25685	318	P25685	6	LRRK	LRRK2
Q5S007	Q92922	287	Q92922	23	LRRK	LRRK2
Q5S007	Q96EY7	483	Q96EY7	6	LRRK	LRRK2
Q5S007	Q9H0C8	247	Q9H0C8	3	LRRK	LRRK2
Q5S007	P23469	197	P23469	5	LRRK	LRRK2
Q5S007	P27694	270	P27694	15	LRRK	LRRK2
Q5S007	P84243	504	P84243	7	LRRK	LRRK2
Q5S007	O15054	150	O15054	10	LRRK	LRRK2
Q5S007	Q9UN37	483	Q9UN37	7	LRRK	LRRK2
Q5S007	Q96MM6	204	Q96MM6	8	LRRK	LRRK2
Q5S007	P49321	270	P49321	52	LRRK	LRRK2
Q5S007	O00203	487	O00203	9	LRRK	LRRK2
Q5S007	Q9NZL4	347	Q9NZL4	9	LRRK	LRRK2
Q5S007	P78368	318	P78368	1	LRRK	LRRK2
Q5S007	Q9BQ69	270	Q9BQ69	1	LRRK	LRRK2
Q5S007	Q9P1U1	280	Q9P1U1	3	LRRK	LRRK2
Q5S007	O15397	270	O15397	7	LRRK	LRRK2
Q5S007	P62070	349	P62070	2	LRRK	LRRK2
Q5S007	P05198	270	P05198	7	LRRK	LRRK2
Q5S007	P61204	468	P61204	4	LRRK	LRRK2
Q5S007	Q9ULH0	171	Q9ULH0	39	LRRK	LRRK2
Q5S007	O43776	270	O43776	3	LRRK	LRRK2
Q5S007	Q96A58	349	Q96A58	1	LRRK	LRRK2
Q5S007	Q02413	295	Q02413	3	LRRK	LRRK2
Q5S007	Q08554	295	Q08554	4	LRRK	LRRK2
Q5S007	P25054	730	P25054	104	LRRK	LRRK2
Q5S007	O43347	270	O43347	1	LRRK	LRRK2
Q5S007	Q9UBD5	270	Q9UBD5	8	LRRK	LRRK2
Q5S007	Q9H0A0	270	Q9H0A0	15	LRRK	LRRK2
Q5S007	Q99832	353	Q99832	9	LRRK	LRRK2
Q5S007	Q9Y613	306	Q9Y613	16	LRRK	LRRK2
Q5S007	Q9Y376	338	Q9Y376	2	LRRK	LRRK2
Q5S007	P82933	366	P82933	3	LRRK	LRRK2
Q5S007	O00425	270	O00425	14	LRRK	LRRK2
Q5S007	Q969Z0	270	Q969Z0	4	LRRK	LRRK2
Q5S007	Q9NY93	163	Q9NY93	5	LRRK	LRRK2
Q5S007	Q07955	342	Q07955	18	LRRK	LRRK2
Q5S007	Q9BT23	156	Q9BT23	1	LRRK	LRRK2
Q5S007	Q9NYU2	270	Q9NYU2	1	LRRK	LRRK2
Q5S007	Q5JS13	179	Q5JS13	6	LRRK	LRRK2
Q5S007	P42766	270	P42766	6	LRRK	LRRK2
Q5S007	Q13546	408	Q13546	9	LRRK	LRRK2
Q5S007	Q9BVA1	287	Q9BVA1	28	LRRK	LRRK2
Q5S007	Q9Y676	270	Q9Y676	4	LRRK	LRRK2
Q5S007	Q9BRD0	169	Q9BRD0	49	LRRK	LRRK2
Q5S007	O00442	270	O00442	3	LRRK	LRRK2
Q5S007	P42704	270	P42704	15	LRRK	LRRK2
Q5S007	P36405	301	P36405	3	LRRK	LRRK2
Q5S007	Q9UK59	270	Q9UK59	5	LRRK	LRRK2
Q5S007	Q99728	171	Q99728	15	LRRK	LRRK2
Q5S007	Q9GZL7	270	Q9GZL7	3	LRRK	LRRK2
Q5S007	Q9NVM9	270	Q9NVM9	9	LRRK	LRRK2
Q5S007	Q9UL25	270	Q9UL25	2	LRRK	LRRK2
Q5S007	P61626	270	P61626	6	LRRK	LRRK2
Q5S007	P30086	281	P30086	20	LRRK	LRRK2
Q5S007	O75581	946	O75581	6	LRRK	LRRK2
Q5S007	P20700	592	P20700	47	LRRK	LRRK2
Q5S007	Q9Y6H5	359	Q9Y6H5	3	LRRK	LRRK2
Q5S007	Q8WUM0	483	Q8WUM0	24	LRRK	LRRK2
Q5S007	P61086	288	P61086	2	LRRK	LRRK2
Q5S007	P60900	287	P60900	5	LRRK	LRRK2
Q5S007	Q13573	214	Q13573	20	LRRK	LRRK2
Q5S007	Q86YT6	252	Q86YT6	7	LRRK	LRRK2
Q5S007	O00410	504	O00410	7	LRRK	LRRK2
Q5S007	Q96FV9	270	Q96FV9	9	LRRK	LRRK2
Q5S007	O95714	341	O95714	17	LRRK	LRRK2
Q5S007	Q01650	288	Q01650	5	LRRK	LRRK2
Q5S007	O00505	270	O00505	4	LRRK	LRRK2
Q5S007	Q8N3R9	167	Q8N3R9	8	LRRK	LRRK2
Q5S007	O00231	483	O00231	8	LRRK	LRRK2
Q5S007	Q13867	270	Q13867	2	LRRK	LRRK2
Q5S007	Q7L7X3	173	Q7L7X3	22	LRRK	LRRK2
Q5S007	P05091	282	P05091	3	LRRK	LRRK2
Q5S007	P30040	270	P30040	3	LRRK	LRRK2
Q5S007	P49588	270	P49588	9	LRRK	LRRK2
Q5S007	P09619	150	P09619	3	LRRK	LRRK2
Q5S007	O14775	168	O14775	1	LRRK	LRRK2
Q5S007	Q16659	154	Q16659	16	LRRK	LRRK2
Q5S007	O75822	270	O75822	10	LRRK	LRRK2
Q5S007	Q9P035	485	Q9P035	4	LRRK	LRRK2
Q5S007	P62491	468	P62491	9	LRRK	LRRK2
Q5S007	P35916	150	P35916	1	LRRK	LRRK2
Q5S007	Q96CS3	270	Q96CS3	2	LRRK	LRRK2
Q5S007	P49756	504	P49756	18	LRRK	LRRK2
Q5S007	O60271	182	O60271	82	LRRK	LRRK2
Q5S007	P56192	319	P56192	5	LRRK	LRRK2
Q5S007	P06576	297	P06576	10	LRRK	LRRK2
Q5S007	P33991	285	P33991	19	LRRK	LRRK2
Q5S007	O75190	318	O75190	3	LRRK	LRRK2
Q5S007	Q15382	468	Q15382	2	LRRK	LRRK2
Q5S007	P20618	287	P20618	6	LRRK	LRRK2
Q5S007	O75762	171	O75762	1	LRRK	LRRK2
Q5S007	P25490	295	P25490	9	LRRK	LRRK2
Q5S007	P98161	270	P98161	1	LRRK	LRRK2
Q5S007	Q9Y4R8	270	Q9Y4R8	4	LRRK	LRRK2
Q5S007	O15169	535	O15169	14	LRRK	LRRK2
Q5S007	Q96EY1	318	Q96EY1	3	LRRK	LRRK2
Q5S007	Q6P1Q9	270	Q6P1Q9	3	LRRK	LRRK2
Q5S007	Q9BS26	300	Q9BS26	1	LRRK	LRRK2
Q5S007	Q9Y283	171	Q9Y283	6	LRRK	LRRK2
Q5S007	P55011	288	P55011	22	LRRK	LRRK2
Q5S007	P09471	483	P09471	2	LRRK	LRRK2
Q5S007	P19784	326	P19784	5	LRRK	LRRK2
Q5S007	O15269	483	O15269	2	LRRK	LRRK2
Q5S007	Q9NX63	270	Q9NX63	11	LRRK	LRRK2
Q5S007	P62917	301	P62917	6	LRRK	LRRK2
Q5S007	Q9BTD8	270	Q9BTD8	3	LRRK	LRRK2
Q5S007	P61019	415	P61019	3	LRRK	LRRK2
Q5S007	Q9UKV3	483	Q9UKV3	107	LRRK	LRRK2
Q5S007	Q06830	311	Q06830	17	LRRK	LRRK2
Q5S007	Q8WVV4	270	Q8WVV4	18	LRRK	LRRK2
Q5S007	O14579	270	O14579	5	LRRK	LRRK2
Q5S007	Q9Y3Z3	493	Q9Y3Z3	19	LRRK	LRRK2
Q5S007	P18887	270	P18887	34	LRRK	LRRK2
Q5S007	Q8IYU2	262	Q8IYU2	2	LRRK	LRRK2
Q5S007	Q92747	285	Q92747	3	LRRK	LRRK2
Q5S007	P36507	480	P36507	18	LRRK	LRRK2
Q5S007	P30679	405	P30679	1	LRRK	LRRK2
Q5S007	Q86TI2	270	Q86TI2	3	LRRK	LRRK2
Q5S007	Q9BW85	179	Q9BW85	5	LRRK	LRRK2
Q5S007	P55060	483	P55060	4	LRRK	LRRK2
Q5S007	P27361	374	P27361	9	LRRK	LRRK2
Q5S007	P41279	177	P41279	3	LRRK	LRRK2
Q5S007	Q16204	270	Q16204	34	LRRK	LRRK2
Q5S007	P52907	502	P52907	8	LRRK	LRRK2
Q5S007	P49593	247	P49593	4	LRRK	LRRK2
Q5S007	P61158	611	P61158	8	LRRK	LRRK2
Q5S007	Q9NVP1	163	Q9NVP1	8	LRRK	LRRK2
Q5S007	Q9NP61	264	Q9NP61	15	LRRK	LRRK2
Q5S007	Q9BQ70	517	Q9BQ70	10	LRRK	LRRK2
Q5S007	Q9BZL4	171	Q9BZL4	24	LRRK	LRRK2
Q5S007	Q96C86	270	Q96C86	3	LRRK	LRRK2
Q5S007	Q9Y575	171	Q9Y575	1	LRRK	LRRK2
Q5S007	Q9C0D5	171	Q9C0D5	46	LRRK	LRRK2
Q5S007	Q15005	270	Q15005	5	LRRK	LRRK2
Q5S007	Q96DI7	358	Q96DI7	3	LRRK	LRRK2
Q5S007	P29074	183	P29074	1	LRRK	LRRK2
Q5S007	Q9Y243	254	Q9Y243	11	LRRK	LRRK2
Q5S007	P22059	270	P22059	25	LRRK	LRRK2
Q5S007	O43815	157	O43815	20	LRRK	LRRK2
Q5S007	P35968	150	P35968	2	LRRK	LRRK2
Q5S007	Q13835	285	Q13835	30	LRRK	LRRK2
Q5S007	Q9Y5Q9	270	Q9Y5Q9	9	LRRK	LRRK2
Q5S007	P48444	282	P48444	8	LRRK	LRRK2
Q5S007	Q8IXB1	161	Q8IXB1	2	LRRK	LRRK2
Q5S007	P04350	539	P04350	26	LRRK	LRRK2
Q5S007	O14929	270	O14929	4	LRRK	LRRK2
Q5S007	Q14566	285	Q14566	11	LRRK	LRRK2
Q5S007	P14868	270	P14868	4	LRRK	LRRK2
Q5S007	O00116	301	O00116	11	LRRK	LRRK2
Q5S007	Q06203	270	Q06203	1	LRRK	LRRK2
Q5S007	O14530	367	O14530	4	LRRK	LRRK2
Q5S007	Q9Y2X3	345	Q9Y2X3	30	LRRK	LRRK2
Q5S007	P62258	658	P62258	20	LRRK	LRRK2
Q5S007	Q13237	197	Q13237	11	LRRK	LRRK2
Q5S007	Q13618	487	Q13618	3	LRRK	LRRK2
Q5S007	Q2LD37	270	Q2LD37	56	LRRK	LRRK2
Q5S007	Q16763	288	Q16763	3	LRRK	LRRK2
Q5S007	Q9Y576	171	Q9Y576	1	LRRK	LRRK2
Q5S007	O43242	270	O43242	3	LRRK	LRRK2
Q5S007	Q13423	270	Q13423	2	LRRK	LRRK2
Q5S007	Q08J23	270	Q08J23	19	LRRK	LRRK2
Q5S007	P27708	270	P27708	21	LRRK	LRRK2
Q5S007	Q9NZQ0	301	Q9NZQ0	1	LRRK	LRRK2
Q5S007	Q7Z3B4	282	Q7Z3B4	2	LRRK	LRRK2
Q5S007	Q9NVA2	270	Q9NVA2	3	LRRK	LRRK2
Q5S007	P31040	283	P31040	15	LRRK	LRRK2
Q5S007	P49736	285	P49736	28	LRRK	LRRK2
Q5S007	P51149	957	P51149	6	LRRK	LRRK2
Q5S007	P53999	270	P53999	29	LRRK	LRRK2
Q5S007	O14827	179	O14827	7	LRRK	LRRK2
Q5S007	Q96J01	270	Q96J01	1	LRRK	LRRK2
Q5S007	Q9BQI6	171	Q9BQI6	3	LRRK	LRRK2
Q5S007	O43252	270	O43252	3	LRRK	LRRK2
Q5S007	Q8WW12	270	Q8WW12	21	LRRK	LRRK2
Q5S007	P21796	483	P21796	19	LRRK	LRRK2
Q5S007	Q9P2S2	177	Q9P2S2	1	LRRK	LRRK2
Q5S007	Q9H3S7	312	Q9H3S7	10	LRRK	LRRK2
Q5S007	P13861	469	P13861	12	LRRK	LRRK2
Q5S007	P16157	255	P16157	30	LRRK	LRRK2
Q5S007	P31323	727	P31323	5	LRRK	LRRK2
